,DATE,COMPANYNAME,AMOUNT,ROUND,INVESTORS,COUNTRY,COUNTRY(HQ),CATEGORY,SECTOR
618,2018-07-23,SunCulture,0,Corporate Venture,"EDF, Energy Access Ventures, Partners Group",Kenya,Kenya,"Agriculture, Farming, Solar",Agriculture
619,2018-07-23,Tulaa,627000,Seed,AHL Venture Partners,Kenya,Kenya,"AgTech, FinTech, agribusiness",Financial Services
620,2018-07-26,Sokowatch,2000000,Seed,"4DX Ventures, Village Global, Lynett Capital, Golden, Palm Investments, Outlierz Ventures",Kenya,Kenya,"Distribution, Data, Emerging Markets, Logistics, and E-Commerce",Transport & Logistics
621,2018-07-26,Mookh Africa,50000,Grant,VISA Everywhere Initiative,Kenya,Kenya,Financial Technology and E-Commerce,Financial Services
622,2018-07-26,CredPal,25000,Grant,Visa Everywhere Initiative,Nigeria,Nigeria,"Fintech, Consumer financing, Credit scoring",Financial Services
623,2018-07-27,Zola Electric ,20000000,Debt Financing,SunFunder,Tanzania,Tanzania,"Electrical Distribution, Energy, Renewable Energy, Solar",Energy & Environment Resources
624,2018-07-27,Jumpin Rides,137000,Seed,Undisclosed,South Africa,South Africa,"Car Sharing, Peer to Peer, Ride Sharing",Transport & Logistics
625,2018-07-29,TemTem,1700000,Seed,Undisclosed,Algeria,Algeria,Information Services,Transport & Logistics
626,2018-07-31,Tugende,5000000,Debt Financing,OPIC - Overseas Private Investment Corporation,Uganda,Uganda,"Car Sharing, Financial Services, Web Development, Asset Financing, Boda Boda",Financial Services
627,2018-07-31,Rensource,580000,Crowdfunding,TRINE,Nigeria,Nigeria,"Energy, PaaS, Renewable Energy",Energy & Environment Resources
628,2018-07-31,ScholarX,40000,Seed,Injini,Nigeria,Nigeria,"Education, Mobile Apps, Universities",Education
629,2018-07-31,Bluebic,40000,Seed,Injini,Nigeria,Nigeria,"Education, Information Technology",Education
630,2018-07-31,SlateCube,40000,Seed,Injini,Nigeria,Nigeria,"eLearning, Technology Training Programs, Virtual Internships, Performance Based Recruiting",Information Technology
631,2018-07-31,Growsel,25000,Grant,Visa Everywhere Initiative,Nigeria,Nigeria,"Agriculture, Association, Communities, Crowdfunding",Financial Services
632,2018-07-31,Hydrolite,10000,Pre-Seed,"All On, Co-Creation Hub Nigeria",Nigeria,Nigeria,Clean Energy,Energy & Environment Resources
633,2018-07-31,Hydrotriciton,10000,Pre-Seed,"All On, Co-Creation Hub Nigeria",Nigeria,Nigeria,Clean Energy,Renewable Energy
634,2018-07-31,Aspire Power Solutions,10000,Seed,Co-Creation Hub Nigeria,Nigeria,Nigeria,"Renewable Energy, Solar Technology, Sales/Installation of Panels, Batteries, Inverters, Charge Controller, Power Consumption/Load Generation Management, Energy Analyst/Consultant, and Remote Monitoring System",Energy & Environment Resources
635,2018-07-31,ZeroElectric,10000,Seed,"All On, Co-Creation Hub Nigeria",Nigeria,Nigeria,Clean Energy,Energy & Environment Resources
636,2018-08-01,Tupuca,0,Series A,Undisclosed,Angola,Angola,"Delivery Service, E-Commerce, Food Delivery, Mobile Apps, Taxi Service",E-Commerce & Retail
637,2018-08-01,SunCulture,0,Corporate Venture,"EDF, Energy Access Ventures, Partners Group",Kenya,Kenya,"Agriculture, Farming, Solar",Agriculture
638,2018-08-01,Taskty,200000,Seed,Cairo Angels,Egypt,Egypt,"Services, Gigs",E-Commerce & Retail
639,2018-08-01,Findit.ke,200000,Seed,Undisclosed,Kenya,Kenya,"Advertising, Consulting, E-Commerce, Internet",E-Commerce & Retail
640,2018-08-01,Tripdizer,55000,Pre-Seed,Undisclosed,Egypt,Egypt,"Tourism, Travel",Travel & Leisure
641,2018-08-01,Courier Lite,10000,Seed,Undisclosed,Uganda,Uganda,"Courier Service, Delivery Service, FinTech",E-Commerce & Retail
642,2018-08-01,OffCampus,5000,Seed,Co-Creation Hub Nigeria,Nigeria,Nigeria,Information Technology,Real Estate
643,2018-08-01,Tender NG,5000,Seed,Co-Creation Hub Nigeria,Nigeria,Nigeria,"Consulting, Information Technology",Information Technology
644,2018-08-01,Luxchizie.net,556,Seed,Undisclosed,Nigeria,Nigeria,"Construction, Information Technology, Real Estate",Real Estate
645,2018-08-02,Enko Education,2200000,Series A,"Proparco, Investisseurs & Partenaires (I&P)",South Africa,South Africa,0,Education
646,2018-08-03,Taz Technologies,17500,Pre-Seed,Startupbootcamp,Kenya,Kenya,Technology,Information Technology
647,2018-08-05,VEhSEh,0,Series A,Undisclosed,Cameroon,Cameroon,HealthTech,Healthcare & Pharma
648,2018-08-06,Cold Hubs,0,Grant,Airband Grant Fund,Nigeria,Nigeria,"Power Grid, Solar",Energy & Environment Resources
649,2018-08-06,Zonful Energy,300000,Corporate Venture,Persistent Energy Capital,Zimbabwe,Zimbabwe,"Clean Energy, Energy, Solar",Energy & Environment Resources
650,2018-08-06,The Medical Concierge Group ,200000,Seed,Undisclosed ,Uganda,Uganda,"Health Care, Health Insurance, Home Health Care, Medical, Personal Health, Pharmaceutical",Healthcare & Pharma
651,2018-08-07,Agsol,0,Grant,Airband Grant Fund,Kenya,Kenya,"Agriculture, Farming, Machine Learning, Renewable Energy",Agriculture
652,2018-08-07,MeshPower,0,Grant,Airband Grant Fund,Rwanda,Rwanda,"Electrical Distribution, Power Grid, Solar",Energy & Environment Resources
653,2018-08-07,Pezesha,550000,Seed,Consonance Investment Managers ,Kenya,Kenya,"Finance, Financial Services, Fintech, p2P lending",Financial Services
654,2018-08-07,Jamii Africa,500000,Series A,"Seedstars, Zahra Nasser, GSMA, Patrick Munis",Tanzania,Tanzania,Health Insurance,Financial Services
655,2018-08-08,Spare Payments,0,Debt Financing,500 Startups,Egypt,Egypt,"Retail, Fintech",Financial Services
656,2018-08-09,Kazang Solar,1600000,Grant,Africa Enterprise Challenge Fund ,Zambia,Zambia,"Power Grid, Solar",Energy & Environment Resources
657,2018-08-10,Mines,13000000,Series A,"The Rise Fund, Velocity Capital Private Equity, First Ally Capital, Nyca Partners, Singularity Investments, Trans Sahara Investment Corporation, Western Technology Investment, X/Seed Capital Partners",Nigeria,Nigeria,"Microfinance, Distributed Systems, Machine Learning, Functional Programming, Parallel Programming, Microservices, and Metaprogramming.",Financial Services
658,2018-08-12,Shield Finders,1000,Seed,Undisclosed,Nigeria,Nigeria,"Loans, Savings",Financial Services
659,2018-08-13,Exuus,50000,Seed,Leapfrog Ventures,Rwanda,Rwanda,"Big Data, Data Mining, Data Visualization",Financial Services
660,2018-08-13,LÜLA,17000,Seed,Startupbootcamp,South Africa,South Africa,"Big Data, Information Technology, Mobile Apps, Mobile Payments, Predictive Analytics, Public Transportation, Ride Sharing, Ticketing, Transportation",Information Technology
661,2018-08-14,HireHunt,0,Seed,Startupbootcamp,Egypt,Egypt,"Recruiting, Staffing Agency",Staffing and Recruiting
662,2018-08-15,HelloSolar,1000000,Series A,Undisclosed,Ethiopia,Ethiopia,Renewables & Environment,Energy & Environment Resources
663,2018-08-15,Farmru,65000,Grant,SAB Foundation,South Africa,South Africa,"AgriTech, Smart farming",Agriculture
664,2018-08-15,Scienup,20000,Seed, Flat6Labs Cairo,Egypt,Egypt,0,Information Technology
665,2018-08-15,Enqaz Dot Net,5500,Seed,Undisclosed,Egypt,Egypt,"Software, Transportstion",Information Technology
666,2018-08-16,Wallets Africa,15000,Seed,Microtraction,Nigeria,Nigeria,"Financial Services, FinTech, Infrastructure, Mobile, Mobile Payments, Payments",Financial Services
667,2018-08-16,Allpro Technologies,15000,Seed,Microtraction,Nigeria,Nigeria,"Data, Payments, Software",Education
668,2018-08-20,BuyCoins,120000,Seed,Y Combinator,Nigeria,Nigeria,"Bitcoin, Cryptocurrency, Mobile Apps",Financial Services
669,2018-08-20,CowryWise,120000,Seed,Y Combinator,Nigeria,Nigeria,"Personal Finance, Wealth Management, Savings",Financial Services
670,2018-08-21,Names & Faces,120000,Seed,Y Combinator,South Africa,South Africa,"Information Services, Information Technology, Software",Information Technology
671,2018-08-22,Awamo,0,Seed,FinLab,Uganda,Uganda,"Biometrics, Financial Services, FinTech, Lending, Micro Lending",Financial Services
672,2018-08-22,Sweetkiwi,20000,Seed,Union Kitchen,Nigeria,Nigeria,Yoghurt,Foods & Beverages
673,2018-08-23,Lendable,450000,Grant,FMO,Kenya,Kenya,"Angel Investment, Finance, Impact Investing",Financial Services
674,2018-08-23,ThankUCash,200000,Seed,"Microtraction, Ventures Platform",Nigeria,Nigeria,SaaS,Financial Services
675,2018-08-25,The Farmer's Son Cycles,0,Series B,Undisclosed,Nigeria,Nigeria,Manufacturing,Automotive
676,2018-08-27,PrepClass,300000,Series A,Rise Capital,Nigeria,Nigeria,"E-Learning, EdTech, Education",Education
677,2018-08-27,TalkLift,50000,Seed,Leapfrog Ventures Japan,Kenya,Kenya,"CRM, Customer Support, Customer Experience, SaaS",SaaS
678,2018-08-27,ThankUCash,10000,Pre-Seed,Google Launchpad Accelerator,Nigeria,Nigeria,SaaS,Financial Services
679,2018-08-28,Paystack,10205000,Series A,"Stripe, Y Combinator, Tencent Holdings, Visa",Nigeria,Nigeria,"Financial Services, Internet, Payments, Fintech",Financial Services
680,2016-12-19,Paystack,1300000,Seed,"Tencent Holdings, Comcast Ventures, Singularity Investments",Nigeria,Nigeria,"Financial Services, Internet, Payments, Fintech",Financial Services
681,2016-03-24,Paystack,120000,Seed,Y Combinator,Nigeria,Nigeria,"Financial Services, Internet, Payments, Fintech",Financial Services
682,2018-08-28,Twiga Foods,5000000,Debt Financing,Overseas Private Investment Corporation,Kenya,Kenya,"mCommerce, Distribution, and Agriculture",E-Commerce & Retail
683,2018-08-29,PayGo Energy,3500000,Series A,Undisclosed,Kenya,Kenya,"Clean Energy, Oil and Gas",Energy & Environment Resources
684,2018-08-29,Livestock Trade Services,1200000,Series A,Consonance Investment Managers ,United Kingdom,United Kingdom,"Agribusiness, Technical Support",Agriculture
685,2018-08-29,Xente,100000,Pre-Seed,Leapfrog Ventures Japan,Uganda,Uganda,"Finance, Digital Payments, Commerce Platform, Bill Payments, Recharge airtime , Tickets",Financial Services
687,2018-08-29,Swipe2Pay,40000,Seed,Leapfrog Ventures Japan,Uganda,Uganda,"Fintect, Payments, Merchants, POS",Financial Services
688,2018-08-30,Tulaa,30000,Grant,"Massachusetts Institute of Technology Legatum Centre,  Mastercard Foundation",Kenya,Kenya,"AgTech, FinTech, agribusiness",Financial Services
689,2018-08-30,RecyclePoints,30000,Grant,"Massachusetts Institute of Technology Legatum Centre, Mastercard Foundation",Nigeria,Nigeria,"Renewable Energy, Waste Management",Renewables & Environment
690,2018-08-30,Neopenda,20000,Seed,Undisclosed,Uganda,Uganda,"Baby, Crowdfunding, Health Care, Medical Device, Wearables",Healthcare & Pharma
691,2018-08-31,Nvoicia,100000,Seed,MEST Africa,Ghana,Ghana,"Working Capital, Fintech, SME, and Loans",Financial Services
692,2018-08-31,RedRaven,15000,Seed,Undisclosed,Nigeria,Nigeria,Payments,Financial Services
693,2018-09-01,Zaagel Xpress,0,Seed,Undisclosed,Egypt,Egypt,"Delivery, E-Commerce, Internet, Logistics",Transport & Logistics
694,2018-09-01,Mandulis Energy,120000,Pre-Seed,Laudato Si 'Challenge,Uganda,Uganda,"Agriculture, Biomass Energy, Clean Energy, Electrical Distribution, Emerging Markets, Sustainability",Energy & Environment Resources
695,2018-09-01,DARA,50000,Pre-Seed,Undisclosed,Nigeria,Nigeria,"Financial Services, FinTech, Software",Financial Services
696,2018-09-01,ElRoshetta,28000,Seed,Falak Startups,Egypt,Egypt,"healthcare, wellness, fitness, data science, and delivery",Healthcare & Pharma
697,2018-09-01,Cycles,5000,Pre-Seed,FbStart,Nigeria,Nigeria,"Bike sharing, Mobility, Green Transport, IOT, Information Technology, Cycling, Digital Transport, Fitness, and Sports",Information Technology
698,2018-09-01,HealthApp Group,250000,Seed,Undisclosed,Egypt,Egypt,"Health, Wellness and Fitness",Healthcare & Pharma
699,2018-09-03,Versara Finance,0,Seed,Ground Squirrel Ventures,Zambia,Zambia,"Finance, FinTech",Financial Services
700,2018-09-03,Africa Incubator,720000,Seed,"Leapfrog Ventures, Monex Ventures, ANRI",Kenya,Kenya,Information Technology,Information Technology
701,2018-09-04,Aqarmap,0,Series A,"Wamda Capital, KISP Ventures, Raed Ventures",Egypt,Egypt,"Online Real Estate Portal, Real Estate Marketing, Real Estate Marketplace, and Real Estate Digital Marketing",E-Commerce & Retail
702,2018-09-04,Bwala Africa,238000,Debt Financing,CFC Stanbic,Kenya,Kenya,"Logistics, Marketplace, Transportation",Transport & Logistics
703,2018-09-04,MDaaS Global,100000,Seed,Ventures Platform,Nigeria,Nigeria,"Medical Equipment, Medical Equipment Maintenance & Repair, Training, Medical Equipment Financing, Economic Development, Shipping and Logistics, Biomedical Training, Medical Diagnostics, and Primary Care",Healthcare & Pharma
704,2018-09-05,AlMaqarr Coworking Space,0,Seed,"Cairo Angels, Alex Angels",Egypt,Egypt,"Coworking Space, Office Space, Meeting Space,  Conference Halls",Real Estate and Construction
705,2018-09-05,Tizeti,3000000,Series A,"4DX Ventures, Y Combinator, Western Technology Investment, Social Capital, Lynett Capital, Golden Palm Investments",Nigeria,Nigeria,"Internet, WIFI, VOIP, and IPTV",Information Technology
706,2018-09-05,Nala,10000,Seed,Ecobank Fintech Challenge,Tanzania,Tanzania,"Financial Inclusion, Digital Financial Services, Mobile Money, and Fintech",Financial Services
708,2018-09-06,FreshSource,0,Angel,HIMangel,Egypt,Egypt,"Agriculture, Food and Beverage, Grocery, Information Technology, Logistics, Small and Medium Businesses, Supply Chain Management",Agriculture
709,2018-09-06,Yoco,16000000,Series B,"Partech Partners, Orange Digital Ventures, Dutch Development Bank, Futuregrowth Asset Management, Quona Capital, Velocity Capital Private Equity",South Africa,South Africa,"FinTech, Mobile Payments, Payments, Point of Sale, SaaS, Small and Medium Businesses",Financial Services
710,2018-09-06,Paga,10000000,Series B,"Global Innovation Fund, Unreasonable Capital, Goodwell Investments, Adlevo Capital, Omidyar Network",Nigeria,Nigeria,"Money Transfer, Airtime, Bill Payments, and SME Business",Financial Services
711,2018-09-06,Sendroid AI,2000,Pre-Seed,Undisclosed,Nigeria,Nigeria,"Advertising, Artificial Intelligence, Digital Marketing, E-Commerce",Media & Entertainment
712,2018-09-08,Elk,75000,Seed,Tachyon by Consensys Ventures,Egypt,Egypt,"Blockchain, Hardware, Internet of Things, Software",Emerging Technologies
713,2018-09-09,Copia Global,16000000,Private Equity,LGT group,Kenya,Kenya,"Consumer Goods, Delivery, E-Commerce",E-Commerce & Retail
714,2018-09-09,Hovo,100000,Seed,Undisclosed,Egypt,Egypt,"Logistics, Mobile Apps, Transportation",Transport & Logistics
715,2018-09-10,Swiver,167000,Seed,Compagnie d’Assurance et de Réassurance Tuniso-Européenne (Carte),Tunisia,Tunisia,"Invoicing, Cloud App, Accounting, Entrepreneurship, Billing, Payroll Management, Inventory Management, Digitalization of Paperwork, and Financial Technology",Financial Services
716,2018-09-10,FinAccess,150000,Seed,Katapult Accelerator,Kenya,Kenya,0,Financial Services
717,2018-09-10,Think.IT,150000,Seed,Katapult Accelerator,Tunisia,Tunisia,"Technology and Software Development, Web Development, Data Security, Microservices, Technology Staffing, Blockchain, Data Science, Machine Learning, Cloud Services, Social Impact, and Talent Development",Information Technology
718,2018-09-10,PraxiLabs,150000,Seed,Katapult Accelerator,Egypt,Egypt,"3D Technology, Content Creators, EdTech, Education, Simulation, Virtual Reality",Education
719,2018-09-11,Hashtag Our Stories,150000,Seed,Snap,South Africa,South Africa,"Media, Entertainment, Social News, Video",Media & Entertainment
721,2018-09-12,DabaDoc,0,Seed,Axa Insurance Morocco,Morocco,Morocco,"Health Care, Healthtech",Healthcare & Pharma
722,2018-09-12,Jumeni,100000,Seed,MEST Africa,Ghana,Ghana,"Financial Services, Information Technology, Mobile Payments",Information Technology
723,2018-09-12,BACE Group,100000,Seed,MEST Africa,Ghana,Ghana,"Financial Services, FinTech, Information Technology, Payments",Financial Services
724,2018-09-12,CodeIn ,100000,Seed,MEST Africa,Ghana,Ghana,"recruitment software, IT recruitment",Recruitment
725,2018-09-12,Judy,100000,Seed,MEST Africa,Nigeria,Nigeria,"Legal Research, Case Law, Law Research, Case Law Database, Legal Tech, Legal Knowledge, Legal Tools, and Value Added Practice",Commercial & Professional Services
726,2018-09-12,ShareHouse,100000,Seed,MEST Africa,Ghana,Ghana,"On Demand Warehousing, Warehouse logistics, and Fullfilment",Transport & Logistics
727,2018-09-12,Truckr Technologies,100000,Seed,MEST Africa,Ghana,Ghana,"logistics, transportation, IoT, road-freight, tracking, cargo, and technology",Transport & Logistics
728,2018-09-12,Crop2Cash,3700,Pre-Seed,Wennovation Hub,Nigeria,Nigeria,"Agriculture, E-Commerce, Farming, Internet, Internet of Things, Software",Agriculture
729,2018-09-12,Dilivasbox,2790,Pre-Seed,Wennovation Hub,Nigeria,Nigeria,"Consumer Goods, Delivery, Retail",Agriculture
730,2018-09-13,Voyc.ai,18000,Seed,Techstars,South Africa,South Africa,"artificial intelligence, machine learning, natural language processing, and SaaS",Emerging Technologies
731,2018-09-14,Atura,0,Series A,"Blue Garnet Investments, Investec, Crossfin",South Africa,South Africa,"Information Services, Information Technology",Emerging Technologies
732,2018-09-15,OTO English,0,Seed,"HIMangel, EdVentures",Egypt,Egypt,E-Learning,Education
733,2018-09-15,YenePay,65000,Seed,Undisclosed,Ethiopia,Ethiopia,Online Payment Processor and Mobile Payment Processor,Financial Services
734,2018-09-17,Enova Robotics,1600000,Series A,Capsa Capital Partners,Tunisia,Tunisia,"Industrial Engineering, Robotics",Robotics
735,2018-09-18,Jumo,52000000,Series B,"Goldman Sachs, Proparco, Finnfund, Vostok Emerging Finance, Gemcorp Capital, LeapFrog Investments.",South Africa,South Africa,"Technology, Mobile Money, Big Data, Digital Financial Services, Mobile Financial Services, Financial Technology",Financial Services
736,2018-09-19,Vezeeta,12000000,Series C,"STV, Silicon Badia, BECO Capital, Vostock New Ventures, Crescent Enterprise Venture Capital",Egypt,Egypt,"Healthcare, Internet, Marketplace, Medical, Paas, Saas",Healthcare & Pharma
737,2018-09-20,Fashpa ,35000,Seed,Farfetch,Nigeria,Nigeria,"E-Commerce, Fashion, Retail",E-Commerce & Retail
738,2018-09-20,MAYDAY,20000,Seed,VFlock,Egypt,Egypt,"Automotive, Mobile Apps, Subscription Service",Other Technologies & Information Technology
739,2018-09-21,Enov8 Solutions,250000,Pre-Seed,SPHINX Capital,Nigeria,Nigeria,"Software Development, Systems Integration, Project Management, Hub, and Digital Marketing",Information Technology
740,2018-09-22,servixme,4200,Seed,Benson Ajabor,Nigeria,Nigeria,"Content Creators, Digital Marketing, Web Development",Media & Entertainment
741,2018-09-24,BeneFactors,150000,Seed,Undisclosed,Rwanda,Rwanda,"Factoring, Working Capital, Fintech",Financial Services
742,2018-09-25,Medallion Communications,500000,Seed,Consonance Investment Managers ,Nigeria,Nigeria,"Internet, iOS, Mobile, Telecommunications",Information Technology
743,2018-09-25,Buseet,250000,Seed,"Cairo Angels, 500 Startups",Egypt,Egypt,"Mobile Apps, Software, Transportation",Transport & Logistics
744,2018-09-27,Names & Faces,3100000,Series A,Undisclosed,South Africa,South Africa,"Information Services, Information Technology, Software",Information Technology
745,2018-09-30,Intelligra,250000,Seed,Consonance Investment Managers ,0,0,"Information Technology, Logistics, Manufacturing, Real Time, Robotics, Supply Chain Management",Financial Services
748,2018-10-01,Betaksys Systeme,0,Seed,Ground Squirrel Ventures,Madagascar,Madagascar,"Information Technology, Transportation",Transport & Logistics
749,2018-10-01,Solarworks!,2270000,Series A,"EDP Renovaveis SA, Persistent Energy Capital",South Africa,South Africa,"Solar products, Distribution in emerging markets, Product design, and After sales support",Energy & Environment Resources
750,2018-10-01,OffGridBox,1200000,Seed,"Good Energies, DOEN Participaties, EEP Africa",Rwanda,Rwanda,Renewables & Environment,Energy & Environment Resources
751,2018-10-01,Tastemakers Africa,980000,Seed,"Precursor Ventures, CRE Venture Capital, Pipeline Angels, Metis Investments, Christopher Isaacs",South Africa,South Africa,"Marketplace, Travel",Travel & Leisure
752,2018-10-01,Datavora,408000,Seed,"UGFS, Intilaq",Tunisia,Tunisia,"Artificial Intelligence, Big Data, E-Commerce, Machine Learning, SaaS, Software",E-Commerce & Retail
753,2018-10-01,Lapaire Glasses,200000,Seed,Saviu Ventures,Kenya,Kenya,Hospital & Health Care,Healthcare & Pharma
754,2018-10-01,Aklabaity,100000,Seed,Savour Ventures,Egypt,Egypt,"E-Commerce, Food and Beverage, Internet",E-Commerce & Retail
755,2018-10-01,Medsaf,1100000,Seed,Undisclosed,Nigeria,Nigeria,"Health Care, Pharmaceutical, SaaS",Healthcare & Pharma
756,2018-10-02,iCommunity,600000,Series A,Algebra Ventures,Egypt,Egypt,"Community Builder, Communication Platform, Facility Management, Security Management Solution",Media & Entertainment
757,2018-10-04,AnaMehani,0,Seed,Undisclosed,Egypt,Egypt,"Talent, Labour",Commercial & Professional Services
758,2018-10-05,Jetstream Africa,0,Seed,PeaceTech Accelerator,Ghana,Ghana,"AgTech, Logistics",Transport & Logistics
759,2018-10-06,Fastvan,200000,Seed,Undisclosed,South Africa,South Africa,"Collaborative Consumption, Logistics, Shipping",Transport & Logistics
760,2018-10-06,Neopenda,30000,Grant,UN Women,Uganda,Uganda,"Baby, Crowdfunding, Health Care, Medical Device, Wearables",Healthcare & Pharma
761,2018-10-07,Augmentors,1000000,Seed,Newtown Partners,South Africa,South Africa,"Augmented Reality, Game Development, Blockchain Integration, DataBits",Media & Entertainment
762,2018-10-08,Accounteer,0,Seed,Microtraction,Nigeria,Nigeria,"Accounting, Banking, Financial Services, Cloud Computing",Financial Services
763,2018-10-08,Parcel-It,0,Seed,GreenTec Capital Partners,Nigeria,Nigeria,"Delivery, Delivery Service, Logistics",Transport & Logistics
764,2018-10-11,The Sun Exchange ,500000,Seed,Alphabit Fund,South Africa,South Africa,"Solar Energy Project Financing, Solar Power, Blockchain, Internet of Things, Ethereum Smart Contracts, Bitcoin",Financial Services
765,2018-10-11,BreastIT,20000,Grant,Global Innovation Fund,Uganda,Uganda,Health Care,Healthcare & Pharma
766,2018-10-12,Zoona,0,Corporate Venture,RippleWorks,Zambia,Zambia,"Mobile Money Transfer, Fintech",Financial Services
767,2018-10-12,ThankUCash,0,Venture Round,Ventures Platform,Nigeria,Nigeria,SaaS,Financial Services
768,2018-10-14,CoinAfrique,0,Corporate Round,Trace,Mauritius,Mauritius,Mobile Marketplace,E-Commerce & Retail
769,2018-10-15,Flutterwave,10000000,Series A,"Raba Capital, Mastercard, FinTech Collective, CRE Venture Capital, 4DX Ventures",United States,United States,"Payments, Fintech, Financial Technology",Financial Services
770,2018-10-15,Hustlenomics,890000,Grant,SAB Foundation,South Africa,South Africa,"Accomodation, Construction",Real Estate
772,2018-10-16,Instant Property,0,Seed,HAVAIC,South Africa,South Africa,"Brokers, Mobile App",Real estate
773,2018-10-16,Simply,0,Seed,Yellowwoods,South Africa,South Africa,"Life Insurance, long term insurance, Disability Insurance, Funeral Insurance, and Group insurance",Financial Services
774,2018-10-16,HitchHiker,200000,Pre-Seed,Undisclosed,Egypt,Egypt,"Sharing Economy, Shipping, Peer-to-Peer",Transport & Logistics
775,2018-10-17,Click2Sure,0,Series A,Greenlight Reinsurance,South Africa,South Africa,"InsurTech, Marketplace",Financial Services
776,2018-10-19,CanGo,0,Seed,SOSV,Rwanda,Rwanda,"Apps, Public Safety, Taxi Service, Transportation, Ride-hailing",Transport & Logistics
777,2018-10-23,PEBL,0,Seed,GreenTec Capital Partners,Namibia,Namibia,"Computer, Hardware, ICT, Manufacturing, Product Design",Information Technology
778,2018-10-24,Uprise.Africa,0,Seed,Nexus Ventures,South Africa,South Africa,"Equity Crowdfunding, Investment, and Funding",Financial Services
779,2018-10-30,BoostMe360,1400000,Grant,Department for International Development (DFID),South Africa,South Africa,"Employment, Online Portals",Commercial & Professional Services
780,2018-10-30,Apollo Agriculture,1100000,Grant,Mastercard Foundation Fund for Rural Prosperity,Kenya,Kenya,"Agriculture, Farmers Market, Financial Services, Machine Learning",Agriculture
781,2018-10-30,SolarNow,740000,Grant,Mastercard Foundation Fund for Rural Prosperity,Uganda,Uganda,"Solar PV (Solar Home Systems), Rural Off-grid markets in Africa, Financing, and Distribution",Energy & Environment Resources
782,2018-10-30,Farmerline,692000,Grant,Mastercard Foundation Fund for Rural Prosperity,Ghana,Ghana,"Agtech, Data Analytics",Agriculture
783,2018-10-30,Riby Finance,15000,Seed,Microtraction,Nigeria,Nigeria,"Saving, Investing, Fintech",Financial Services
784,2018-10-31,MFS Africa,14000000,Series B,"LUN Partners Group, Goodwell Investments, FSD Africa, Equator Capital Partners",South Africa,South Africa,"Financial Services, FinTech, Mobile Payments, Payments",Financial Services
785,2018-10-31,Thrive Agric,150000,Seed,500 Startups,Nigeria,Nigeria,"Agriculture, AgTech, Information Technology",Agriculture
787,2018-11-01,Eneza Education,0,Grant,GSMA Ecosystem Accelerator,Kenya,Kenya,"Educational Content, Mobile Learning, E-Learning, Edtech",Education
788,2018-11-01,GiftedMom,0,Grant,GSMA Ecosystem Accelerator,Cameroon,Cameroon,"Communities, Health Care, Information Services, Information Technology",Healthcare & Pharma
789,2018-11-01,KEA Medicals,0,Grant,GSMA Ecosystem Accelerator,Benin,Benin,"Health Care, Medical",Healthcare & Pharma
790,2018-11-01,quip.link,0,Pre-Seed,Undisclosed,Rwanda,Rwanda,"Construction, E-Commerce, Logistics, Marketplace, Software, Machinery",E-Commerce & Retail
791,2018-11-01,SOL Wallet,4300000,Seed,Skywell Capital,South Africa,South Africa,"Cryptocurrency, Financial Exchanges, Financial Services, Mobile Payments, Personal Finance, Stock Exchanges, Trading Platform",Financial Services
792,2018-11-01,PEG Africa,1500000,Debt Financing,"SunFunder, Oikocredit International",Ghana,Ghana,"Asset Financing, Pay As You Go Solar, and Solar Energy",Energy & Environment Resources
793,2018-11-01,Afrikrea,168000,Seed,Id4 ventures,Ivory Coast,Ivory Coast,"Art, E-Commerce, Fashion, Handmade",E-Commerce & Retail
794,2018-11-01,Koann,167000,Seed,Undisclosed,Mauritius,Mauritius,"Human Resources, Internet, Software, Recruitment",Commercial & Professional Services
795,2018-11-02,Edves,120000,Seed,"Chinook Capital, Co-creation Hub Nigeria",Nigeria,Nigeria,"EdTech, Enterprise Resource Planning (ERP), SaaS",Education
796,2018-11-03,Thrive Agric,150000,Seed,500 Startups,Nigeria,Nigeria,"Agriculture, AgTech, Information Technology",Agriculture
797,2018-11-05,Netwookie,0,Seed,GreenTec Capital Partners,Kenya,Kenya,"Information Services, Information Technology",Social Network
798,2018-11-07,PharmaScout,0,Series A,Knife Capital,South Africa,South Africa,"Hardware, Health Care, Pharmaceutical",Healthcare & Pharma
799,2018-11-08,AwaBike,0,Pre-Seed,Ingressive Capital,Nigeria,Nigeria,Bike-Sharing,Transport & Logistics
800,2018-11-08,Kukua,2510000,Seed,"EchoVC Partners, Kima Ventures, Founders Factory, Burda Principle Investments, First Minute Capital",Kenya,Kenya,"Software, Media",Education
801,2018-11-09,Yusudi,0,Seed,GreenTec Capital Partners,Kenya,Kenya,"Training, youth development, Business Skills, internship placement, Intern recruitment, capacity building, Entry-level recruitment, Up-skilling, Business Etiquette, Sales skills, Marketing skills, Customer service skills, Administration skills, SME Talent Provision, and Recruitment",Recruitment
802,2018-11-09,CowTribe,300000,Seed,Draper Richards Kaplan Foundation,Ghana,Ghana,"Veterinary, Animal Health",Agriculture
803,2018-11-12,NanoDoors,1400,Pre-Seed,Undisclosed,Nigeria,Nigeria,"Computer, Hardware, Information Technology, Software",Information Technology
804,2018-11-13,BitPesa,5020000,Series B,Sompo Holdings,Kenya,Kenya,"Blockchain, Cryptocurrencies, Exchange, Fintech",Financial Services
